t=2026-01-08T18:03:33+0200 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=f1633479898b clientid=34ed77c36d739733a40008e163c2f9db
t=2026-01-08T18:03:33+0200 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=08ab567ceb1e err="session closed"
t=2026-01-08T18:03:49+0200 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: session closed"
t=2026-01-08T18:04:03+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-08T18:04:03+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-08T18:07:10+0200 lvl=info msg="join connections" obj=join id=9da04fd584c8 l=127.0.0.1:3000 r=41.216.86.42:20103
t=2026-01-08T18:07:11+0200 lvl=info msg="join connections" obj=join id=25df28438ed8 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:15+0200 lvl=info msg="join connections" obj=join id=636e5755e83b l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:15+0200 lvl=info msg="join connections" obj=join id=490e46c2665c l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:15+0200 lvl=info msg="join connections" obj=join id=29b9d3c89107 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:20+0200 lvl=info msg="join connections" obj=join id=09c24b4dca54 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:20+0200 lvl=info msg="join connections" obj=join id=fc0c7b9e4b85 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:20+0200 lvl=info msg="join connections" obj=join id=c17bace7b96c l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=f9a1d625e21b l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=426ac664e254 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=597aa447da86 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=09745f4a8caa l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=5595ac48f23d l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=f131d3df0528 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=725a613aa9b3 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=73e3c9869506 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=2b485010e7a5 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=b2a119e0751f l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=d76078471537 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=9e67cb1446da l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:21+0200 lvl=info msg="join connections" obj=join id=4e3230281d97 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=e5a1c75f81bb l=127.0.0.1:3000 r=41.216.86.42:20106
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=80b514bb0178 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=313271c9f404 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=151e14d96b9e l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=d2e478dea58d l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=bee104db0e77 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:22+0200 lvl=info msg="join connections" obj=join id=c5e72264c691 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=f29535f5b71c l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=36455fed064e l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=f3f7a1278665 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=30b6765d616f l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=d3758f4a2ecb l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=6812d6feb670 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=2cc26d10965d l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=c6195a2c8b35 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=07a4c3913ecc l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=2bfcf537028b l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=cd034e842aeb l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=13cfa10f145a l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:24+0200 lvl=info msg="join connections" obj=join id=b692bc764f8c l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:26+0200 lvl=info msg="join connections" obj=join id=26b997cc096f l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:27+0200 lvl=info msg="join connections" obj=join id=1ab6a2a88fea l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:27+0200 lvl=info msg="join connections" obj=join id=8886ffb448d9 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:27+0200 lvl=info msg="join connections" obj=join id=6a08dc63a253 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:27+0200 lvl=info msg="join connections" obj=join id=91dd7e0bd3c5 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:28+0200 lvl=info msg="join connections" obj=join id=2f0a77e26d09 l=127.0.0.1:3000 r=41.216.86.42:20104
t=2026-01-08T18:07:28+0200 lvl=info msg="join connections" obj=join id=f658e765c83b l=127.0.0.1:3000 r=41.216.86.42:20104
